Doc_1		Doc_2		Similarity

1134		4860		0.9379671057458955
5091		7254		1.0
1453		3969		0.8206483083879238
253		6595		1.0
809		5579		0.7364032152561198
2031		5416		0.7088666028797647
2746		7298		0.9430188029968322
1354		7491		0.8740638192189164
5863		7458		0.7074633014383861
8397		9590		0.9679270413222543
1589		12212		0.8731980518499843
1957		8607		0.8498976674031817
2568		5761		0.9369762106814317
6249		6645		0.7925103468740763
8589		9658		0.946710174208233
519		10871		0.87072511327438
2293		9630		0.773686133903396
2067		6959		0.9036391409804626
5242		6757		0.7367844579221705
2568		10066		0.8137914293315626
1468		9211		0.7479924034135448
794		3302		0.7226480435843583
1056		9877		0.8951576256971477
1453		8632		0.8936555854869528
493		7491		0.8599937958746832
2239		7630		0.7353408745120342
2721		3317		0.7140608476321978
3273		9680		0.7507910371553898
292		2111		0.703012251711379
8162		9646		0.7476394566782255
9965		10721		0.7910203375777347
1695		6310		0.7568451453404512
2410		4414		0.804952645432934
6289		10693		0.7461931525820792
4649		11457		0.8539372230705083
8312		8540		0.7441752207497772
1781		7817		0.7065686053532207
705		7465		1.0
4073		11209		0.7359203354566902
999		5462		0.7003518800691552
7079		7901		0.8287601226372524
2275		12196		0.8776591489674997
2207		9375		0.700699271192291
3273		11546		0.762216668627992
11937		12087		0.7609138028376076
7696		8329		0.7613931669386423
6594		8574		0.7685208414980343
10873		11180		0.7760757099168181
3868		5972		0.7042304123650097
9680		11546		0.8008924933842853
331		3022		0.7717294708518668
1185		2439		0.7251980093369236
1336		4682		0.7200978545023712
302		3548		0.7106819258270239
9630		10240		0.8854632052029899
3249		7804		0.9544074533719203
4587		7653		0.7038720890897765
3273		11240		0.7153780702734787
3333		10439		0.7825977161809269
1282		5579		0.7127746958350192
9630		11240		0.7686821321604135
1017		2636		0.800491076724173
3783		8633		0.765814798605062
760		3811		0.7377264146760557
6941		8173		0.8146412277889065
6670		8405		0.7335203769861778
4742		8499		0.8400615969918906
10439		12244		0.8089244984774114
197		11204		1.0
4742		10566		0.7967298421122333
2572		9735		0.9273372874927622
5226		9587		0.8748973195107438
5073		8360		0.9468575104613137
164		1785		1.0
9143		11258		0.915687229494251
3255		7911		0.7379240604444643
1373		7998		0.703277061377359
8837		10609		0.9290340069185233
3011		9707		0.8000791419116925
2746		8514		0.8403446563609401
97		5221		0.7478523341487544
5744		11963		0.7211837146773885
5222		9240		0.7137074157969495
4946		7817		0.7523826235085583
2165		8269		1.0
8205		11425		0.7824724720534288
247		8862		0.7178660203302591
1579		8425		0.7488403430789385
225		10799		0.8303786838328369
7901		11425		0.8188108041406342
9680		10240		0.8018798160706223
40		4977		0.7013881101636804
2008		7179		0.7219109011667563
30		2578		0.7380318889376029
10464		11363		0.8725708382231361
6460		9746		0.9041655340948481
2248		11907		0.7201601510319953
2293		11546		0.7345783434267095
5149		5491		0.8431530200458383
6654		7363		0.754706778585133
4996		6351		0.720989382764761
4053		4795		0.8122920750539739
1887		8336		0.7758732715313984
2293		11240		0.8032812688212575
1813		7491		0.8696833310828318
3969		5202		0.7867295890788145
10473		11741		0.772278407540839
63		9502		0.7426894617391705
7911		12087		0.7829432243748221
5018		8308		0.773864924066411
3693		7032		0.7069864777444265
3209		5782		0.7033562826920073
3969		4795		0.7220186590137145
8499		9444		0.8108468010799852
1153		3663		0.7403944027869017
5827		10216		0.8600494570852893
7168		9707		0.7231843046867078
7911		11685		0.7428686900822109
8021		9256		1.0
4860		10715		0.8969687379478232
2258		2568		0.7189608274680864
11685		12087		0.7184019414129704
2450		5492		0.7795689706568016
2258		5761		0.7123716599574375
1237		6131		0.8786294229414285
1829		9225		0.8450057695409805
457		1869		0.7151515625796536
1359		5814		0.7687829588453121
4502		4589		0.9947867139924953
3777		5467		0.7589004217226147
2423		2568		0.9221284160967703
7866		11258		0.8880561615918473
1143		10037		1.0
10406		11020		0.707524248281988
10240		11240		0.7642557455710247
1049		3414		1.0
5720		9371		0.7448386964009588
4242		7786		0.75805655518737
2258		2423		0.7239329708799246
5277		10065		0.9489772927437242
9630		11546		0.7623693021557104
5061		10032		0.885668724207684
8464		11752		0.7192011176317288
6922		11756		0.739953065563213
2443		9408		0.7486848595148815
2766		10653		0.7545452475574723
4767		9511		0.7566875774695255
6755		7971		0.8863359203345809
8499		10566		0.7907346419552886
5918		8372		0.7638411071383636
565		7170		1.0
2173		7606		0.9249588750381785
3333		12244		0.9553998939564664
809		1534		0.730686032517032
4462		6645		0.7802343534253888
3283		4141		0.7219637704387423
272		11929		0.7232454149078578
4060		5676		0.7562949870295159
1418		6776		0.8212707921034982
9542		9587		0.7127303552651048
3969		4053		0.7384690524165737
2791		10063		0.9050908232617179
2445		10817		0.772604575511022
3011		7168		0.8045215134110001
7899		8975		0.8892301938214189
4795		5202		0.7607786591683202
2091		6825		1.0
2377		6569		0.7846890627369663
8019		10350		0.735793559867873
578		10954		0.8141034470802326
4812		10834		0.7033759958388639
5784		7910		0.727176984588389
515		3373		0.9664156918428674
2146		5339		0.7098645451085991
3273		10240		0.8132592995055025
3395		10873		0.8048607014759555
3400		8930		0.7478388224078911
1256		10017		0.7259830992169101
3255		12087		0.7482608957400548
4025		4841		0.9311746076069758
5478		9955		0.7155291859557229
2129		8984		0.7029104217481968
1775		9352		0.7640852980490227
127		6935		0.8656489151056401
7298		8514		0.8376078074232487
11040		11753		0.7845432508175743
4050		6603		0.7503496324460345
2423		6791		0.7931568345827821
3273		9630		0.7743041533312011
7079		7669		0.8305818685381261
701		4904		0.8901195529161752
2687		2729		0.9251264911170806
809		1282		0.7484452810450745
6649		11129		1.0
59		11907		0.7084699475210744
791		10788		1.0
10337		12117		0.7491800498057174
3969		8632		0.8455144326532051
8224		10216		0.801452237971967
3893		5416		0.8495411742687718
5863		9817		0.7006241407939104
8280		12196		0.7678240659083511
11240		11546		0.7307526390302992
8884		11546		0.752420992012508
7079		8205		0.8386811139310667
5833		7630		0.722870940938082
5222		10989		0.7176128400706124
8884		9630		0.7090315720710798
1134		10715		0.8507748931820184
